stress,sleep,sentiment,stress_category
6,6.2,0.3,Moderate
8,7.5,-0.27,Moderate
6,8.5,0.12,Low
0,6.5,-0.04,Low
0,7.4,0.77,Low
8,7.5,0.06,Moderate
10,5.3,-0.12,High
8,4.4,-0.19,High
3,4.2,0.14,Moderate
8,4.5,0.61,Moderate
2,4.6,0.08,Low
6,4.2,0.32,Moderate
5,8.3,0.48,Low
7,7.5,0.04,Moderate
10,3.3,-0.15,High
8,4.6,0.75,Moderate
4,3.1,-0.16,Moderate
0,6.0,-0.08,Low
2,5.9,0.98,Low
9,8.0,-1.0,High
7,4.8,-0.63,High
10,7.9,-0.23,High
5,8.8,0.87,Low
7,3.5,-0.86,High
8,7.8,-0.98,High
3,6.5,-0.89,Moderate
0,5.9,-0.82,Low
0,5.5,-0.92,Low
9,7.7,-0.04,Moderate
3,6.8,0.16,Low
6,7.8,-0.46,Moderate
1,8.4,-0.2,Low
2,6.7,-0.82,Low
0,8.9,-0.33,Low
4,6.6,0.05,Low
0,6.8,0.46,Low
7,6.3,-0.99,High
0,3.5,-0.07,Low
10,7.4,-0.41,High
0,6.3,0.71,Low
1,5.7,0.43,Low
1,8.5,0.18,Low
5,4.8,-0.45,Moderate
6,6.1,0.82,Low
4,7.2,-0.91,Moderate
0,7.8,-0.78,Low
0,5.8,-0.22,Low
2,8.1,-0.75,Low
1,7.6,0.91,Low
4,3.4,0.6,Moderate
9,3.3,-0.48,High
5,6.7,0.18,Low
6,5.1,0.96,Low
3,4.3,0.77,Low
6,6.5,0.2,Moderate
10,5.0,0.81,High
7,6.2,0.98,Moderate
10,5.8,0.49,High
0,6.5,-0.87,Low
5,5.4,-0.2,Moderate
7,7.2,0.68,Low
4,4.1,-0.54,Moderate
3,7.2,0.66,Low
1,5.5,-0.76,Low
5,8.2,-0.91,Moderate
5,6.1,-0.23,Moderate
10,8.8,-0.93,High
0,6.6,0.91,Low
8,4.3,0.65,Moderate
10,7.9,0.6,Moderate
5,5.1,0.26,Moderate
2,5.1,-0.57,Moderate
3,3.2,0.04,Moderate
10,6.3,0.19,High
3,6.2,0.05,Low
2,5.1,-0.48,Moderate
9,8.4,0.03,Moderate
2,3.8,-0.02,Low
2,5.0,0.99,Low
3,4.9,0.79,Low
6,3.6,-0.07,High
3,5.9,0.25,Low
8,7.1,0.5,Moderate
0,6.1,-0.93,Low
7,3.9,0.79,Moderate
6,5.3,0.72,Moderate
1,3.0,-0.09,Moderate
7,8.2,-0.22,Moderate
0,3.5,-0.45,Moderate
10,6.6,-0.05,High
8,8.9,-0.91,Moderate
8,6.2,0.7,Moderate
1,8.5,-0.93,Low
6,4.4,-0.34,High
9,7.6,0.86,Moderate
2,6.2,0.47,Low
6,7.3,-0.44,Moderate
9,3.4,-0.49,High
8,3.9,-0.99,High
3,3.8,0.39,Moderate
0,7.1,-0.9,Low
1,8.1,0.07,Low
0,7.5,0.92,Low
4,3.2,-0.78,High
4,8.2,0.79,Low
10,5.1,0.98,Moderate
6,5.4,-0.88,High
8,3.6,0.77,Moderate
8,7.4,0.03,Moderate
2,4.1,0.81,Low
2,6.4,0.14,Low
2,8.0,0.32,Low
3,3.5,0.09,Moderate
7,6.2,0.73,Moderate
5,4.4,0.47,Moderate
7,5.1,0.04,High
0,5.8,0.74,Low
7,5.1,-0.51,High
3,6.9,-0.69,Low
10,5.9,-0.68,High
0,6.5,-0.33,Low
7,7.4,-0.52,Moderate
3,6.3,0.86,Low
5,6.5,-0.79,Moderate
7,6.4,0.4,Moderate
3,5.3,-0.62,Moderate
2,5.0,0.76,Low
8,8.4,0.92,Low
2,6.6,-0.07,Low
8,4.5,0.76,Moderate
1,6.0,-0.99,Moderate
1,5.0,0.64,Low
1,8.6,-0.54,Low
5,3.0,0.82,Moderate
2,4.4,-1.0,Moderate
8,5.2,0.11,High
3,5.9,0.51,Low
0,8.1,-0.48,Low
3,3.5,-0.61,Moderate
0,7.8,-0.83,Low
4,3.3,-0.35,Moderate
3,8.1,0.12,Low
7,3.3,-0.77,High
7,3.1,-0.25,High
6,7.2,-0.98,Moderate
2,9.0,0.64,Low
0,8.4,-0.74,Low
0,6.5,-0.43,Low
10,8.5,-0.96,High
2,3.0,-0.14,Moderate
5,8.9,0.68,Low
6,5.9,-0.22,Moderate
5,7.3,-0.64,Moderate
5,7.9,0.51,Low
5,7.3,0.58,Low
2,6.2,-0.65,Low
5,5.9,0.54,Low
7,8.0,0.89,Low
10,4.2,-0.67,High
10,8.8,0.54,Moderate
1,7.3,0.42,Low
4,4.2,-0.05,Moderate
0,7.4,-0.88,Low
0,6.2,-0.85,Low
4,7.2,0.7,Low
2,7.6,0.98,Low
3,3.5,0.35,Moderate
2,6.0,-0.11,Low
0,8.6,0.3,Low
0,4.9,0.19,Low
4,6.6,-0.23,Low
5,5.2,-0.87,High
2,5.7,0.64,Low
8,6.3,-0.26,High
4,6.3,0.64,Low
7,4.2,-0.49,High
0,7.1,-1.0,Low
4,3.5,-0.68,High
2,3.8,-0.06,Moderate
0,3.0,0.89,Low
3,3.7,-0.8,Moderate
4,5.8,0.71,Low
6,6.6,0.05,Moderate
0,7.8,0.65,Low
2,3.6,-0.4,Moderate
1,8.1,0.68,Low
8,7.5,0.55,Moderate
9,5.5,-0.54,High
5,8.6,-0.74,Moderate
9,8.9,0.74,Low
2,4.2,0.93,Low
7,5.3,-0.94,High
7,8.6,0.46,Low
1,7.3,0.82,Low
5,3.3,0.71,Moderate
6,7.7,0.93,Low
1,8.0,0.52,Low
10,7.5,-0.12,High
9,7.8,-0.38,High
1,8.0,-0.36,Low
9,4.1,0.45,High
0,4.4,0.49,Low
7,6.8,-0.6,High
0,8.4,0.74,Low
8,4.9,0.43,High
10,6.5,0.13,High
5,7.1,-0.06,Moderate
6,5.7,0.09,Moderate
9,7.3,-0.68,High
6,8.4,-0.59,Moderate
9,6.7,-0.82,High
2,6.2,-0.69,Low
1,5.6,-0.09,Low
8,6.5,0.06,Moderate
7,5.1,-0.96,High
9,5.3,0.59,Moderate
6,6.2,-0.41,Moderate
8,3.4,0.82,High
3,4.4,0.94,Low
3,6.3,-0.63,Moderate
0,5.6,-0.08,Low
7,5.0,-1.0,High
2,7.4,0.2,Low
6,7.2,0.21,Moderate
1,4.0,-0.5,Moderate
1,8.3,0.12,Low
6,6.0,-0.55,Moderate
5,7.4,-0.68,Moderate
2,6.4,0.3,Low
8,9.0,-0.35,Moderate
9,7.5,0.18,Moderate
5,7.2,-0.13,Low
9,7.7,0.97,Moderate
9,3.9,-0.7,High
5,4.2,-0.07,Moderate
0,7.3,0.36,Low
3,6.0,-0.21,Low
9,7.5,0.95,Moderate
5,3.6,0.44,Moderate
5,6.2,0.31,Moderate
10,5.3,0.51,High
4,5.7,0.91,Low
0,6.6,0.82,Low
7,6.0,0.45,Moderate
4,6.2,0.5,Low
4,5.9,-0.71,Moderate
6,5.5,-0.79,High
3,7.6,0.14,Low
5,3.1,-0.96,High
3,6.6,-0.04,Low
2,6.4,-0.58,Low
6,7.3,-0.31,Moderate
7,6.6,0.55,Moderate
3,8.0,0.88,Low
1,8.8,-0.86,Low
9,5.1,0.07,High
2,4.4,0.77,Low
0,5.5,-0.83,Low
7,4.7,0.65,Moderate
2,6.7,-0.28,Low
9,8.5,-0.36,Moderate
6,3.8,0.95,Moderate
9,3.6,-0.6,High
4,4.5,0.39,Low
9,7.4,0.64,Moderate
4,6.6,-0.92,Moderate
6,3.6,0.34,Moderate
8,8.5,0.9,Low
4,7.7,-0.75,Moderate
0,3.1,0.79,Low
9,6.9,0.19,Moderate
9,7.6,0.23,Moderate
0,5.2,0.23,Low
1,3.4,-0.4,Moderate
5,3.5,0.87,Moderate
8,3.6,0.89,High
7,8.0,0.25,Moderate
4,8.5,0.57,Low
0,3.7,0.22,Low
6,4.4,-0.03,Moderate
4,4.0,0.32,Moderate
5,4.1,0.11,Moderate
6,8.0,0.19,Low
2,5.0,0.57,Low
9,4.9,-0.04,High
2,4.4,-0.92,Moderate
4,6.6,-0.67,Moderate
5,5.3,-0.12,Moderate
8,7.5,0.45,Moderate
4,4.2,0.19,Moderate
0,7.7,0.3,Low
3,6.6,-0.04,Low
4,3.7,0.23,Moderate
9,5.5,-0.34,High
9,8.2,-0.06,Moderate
4,8.5,0.49,Low
6,5.8,0.74,Moderate
3,5.9,-0.13,Low
0,8.5,-0.91,Low
4,6.5,-0.68,Moderate
6,3.2,-0.96,High
9,8.5,0.31,Moderate
9,4.5,-0.34,High
5,6.5,0.08,Moderate
4,4.0,-0.01,Moderate
3,3.2,-0.84,Moderate
1,4.9,-0.19,Low
3,7.7,-0.56,Low
9,4.7,-0.16,High
9,4.3,-0.59,High
2,4.3,0.68,Low
9,6.1,-0.65,High
0,8.9,0.92,Low
7,5.8,-0.17,Moderate
4,6.3,0.69,Low
3,8.2,0.26,Low
7,6.2,0.47,Moderate
6,4.1,0.54,Moderate
1,4.8,0.01,Low
0,4.9,0.09,Low
10,5.4,0.03,High
3,5.6,0.18,Low
7,7.8,-0.94,High
1,5.1,-0.21,Low
2,5.8,0.21,Low
0,6.7,0.2,Low
0,5.3,0.59,Low
2,8.0,0.31,Low
10,6.5,0.98,Moderate
4,4.8,-0.43,Moderate
2,7.3,-0.28,Low
0,6.2,-0.23,Low
0,6.2,-0.07,Low
7,5.9,0.67,Moderate
9,6.0,-0.53,High
10,7.6,0.55,Moderate
1,3.6,-0.19,Moderate
2,5.0,0.2,Low
1,3.5,0.27,Low
2,7.5,-0.25,Low
6,4.6,0.03,Moderate
0,8.4,-0.17,Low
9,6.2,-0.86,High
7,7.8,-0.13,Moderate
9,8.9,-0.81,High
9,8.0,-0.19,Moderate
9,8.2,0.19,Moderate
